name,city,state,venue,sport_type,league, division
Celtics,Boston,Massachusetts,TD Garden,NBA
Nets,Brooklyn,New York,Barclays Center,NBA
Knicks,New York,New York,Madison Square Garden,NBA
76ers,Philadelphia,Pennsylvania,Wells Fargo Center,NBA
Raptors,Toronto,Ontario,Scotiabank Arena,NBA
Bulls,Chicago,Illinois,United Center,NBA
Cavaliers,Cleveland,Ohio,Quicken Loans Arena,NBA
Pistons,Detriot,Michigan,Little Caesars Arena,NBA
Pacers,Indianapolis,Indiana,Bankers Life Fieldhouse,NBA
Bucks,Milwaukee,Wisconsin,Fiserv Forum,NBA
Hawks,Atlanta,Georgia,State Farm Arena,NBA
Hornets,Charlotte,North Carolina,Spectrum Center,NBA
Heat,Miami,Florida,American Airlines Arena,NBA
Magic,Orlando,Florida,Amway Center,NBA
Wizards,Washington,D.C.,Capital One Arena,NBA
Nuggets,Denver,Colorado,Pepsi Center,NBA
Timberwolves,Minneapolis,Minnesota,Target Center,NBA
Thunder,Oklahoma City,Oklahoma,Chesapeake Energy Arena,NBA
Trail Blazers,Portland,Oregon,Moda Center,NBA
Jazz,Salt Lake City,Utah,Vivint Smart Home Arena,NBA
Warriors,Oakland,California,Oracle Arena,NBA
Clippers,Los Angeles,California,Staples Center,NBA
Lakers,Los Angeles,California,Staples Center,NBA
Suns,Phoenix,Arizona,Talking Stick Resort Arena,NBA
Kings,Sacramento,California,Golden 1 Center,NBA
Mavericks,Dallas,Texas,American Airlines Center,NBA
Rockets,Houston,Texas,Toyota Center,NBA
Grizzlies,Memphis,Tennessee,FedExForum,NBA
Pelicans,New Orleans,Louisiana,Smoothie King Center,NBA
Spurs,San Antonio,Texas,AT&T Center,NBA
Braves,Atlanta,Georgia,SunTrust Park,MLB
Marlins,Miami,Florida,Marlins Park,MLB
Mets,New York,New York,Citi Field,MLB
Phillies,Philadelphia,Pennsylvania,Citizens Bank Park,MLB
Nationals,Washington,D.C.,Nationals Park,MLB
Cubs,Chicago,Illinois,Wrigley Field,MLB
Reds,Cincinnati,Ohio,Great American Ball Park,MLB
Brewers,Milwaukee,Wisconsin,Miller Park,MLB
Pirates,Pittsburgh,Pennsylvania,PNC Park,MLB
Cardinals,St. Louis,Missouri,Busch Stadium,MLB
Diamondbacks,Phoenix,Arizona,Chase Field,MLB
Rockies,Denver,Colorado,Coors Field,MLB
Dodgers,Los Angeles,California,Dodger Stadium,MLB
Padres,San Diego,California,PETCO Park,MLB
Giants,San Francisco,California,Oracle Park,MLB
Orioles,Baltimore,Maryland,Oriole Park at Camden Yards,MLB
Red Sox,Boston,Massachusetts,Fenway Park,MLB
Yankees,New York,New York,Yankee Stadium,MLB
Rays,Tampa,Florida,Tropicana Field,MLB
Blue Jays,Toronto,Ontario,Rogers Centre,MLB
White Sox,Chicago,Illinois,Guaranteed Rate Field,MLB
Indians,Cleveland,Ohio,Progressive Field,MLB
Tigers,Detroit,Michigan,Comerica Park,MLB
Royals,Kansas City,Missouri,Kauffman Stadium,MLB
Twins,Minneapolis,Minnesota,Target Field,MLB
Astros,Houston,Texas,Minute Maid Park,MLB
Angels,Anaheim,California,Angel Stadium of Anaheim,MLB
Athletics,Oakland,California,Oakland-Alameda County Coliseum,MLB
Mariners,Seattle,Washington,T-Mobile Park,MLB
Rangers,Arlington,Texas,Globe Life Park in Arlington,MLB
Bills,Orchard Park,New York,New Era Field,NFL
Dolphins,Miami Gardens,Florida,Hard Rock Stadium,NFL
Patriots,Foxborough,Massachusetts,Gillette Stadium,NFL
Jets,East Rutherford,New Jersey,MetLife Stadium,NFL
Ravens,Baltimore,Maryland,M&T Bank Stadium,NFL
Bengals,Cincinnati,Ohio,Paul Brown Stadium,NFL
Browns,Cleveland,Ohio,FirstEnergy Stadium,NFL
Steelers,Pittsburgh,Pennsylvania,Heinz Field,NFL
Texans,Houston,Texas,NRG Stadium,NFL
Colts,Indianapolis,Indiana,Lucas Oil Stadium,NFL
Jaguars,Jacksonville,Florida,TIAA Bank Field	,NFL
Titans,Nashville,Tennessee,Nissan Stadium	,NFL
Broncos,Denver,Colorado,Broncos Stadium at Mile High,NFL
Chiefs,Kansas City,Missouri,Arrowhead Stadium,NFL
Raiders,Oakland,California,Oakland-Alameda County Coliseum,NFL
Chargers,Carson,California,StubHub Center	,NFL
Cowboys,Arlington,Texas,AT&T Stadium,NFL
Giants,East Rutherford,New Jersey,MetLife Stadium,NFL
Eagles,Philadelphia,Pennsylvania,Lincoln Financial Field,NFL
Redskins,Landover,Maryland,FedExField,NFL
Bears,Chicago,Illinois,Soldier Field,NFL
Lions,Detroit,Michigan,Ford Field,NFL
Packers,Green Bay,Wisconsin,Lambeau Field,NFL
Vikings,Minneapolis,Minnesota,U.S. Bank Stadium	,NFL
Falcons,Atlanta,Georgia,Mercedes-Benz Stadium	,NFL
Panthers,Charlotte,North Carolina,Bank of America Stadium,NFL
Saints,New Orleans,Louisiana,Mercedes-Benz Superdome,NFL
Buccaneers,Tampa,Florida,Raymond James Stadium,NFL
Cardinals,Glendale,Arizona,State Farm Stadium,NFL
Rams,Los Angeles,California,Los Angeles Memorial Coliseum,NFL
49ers,San Francisco,California,Levi's Stadium	,NFL
Seahawks,Seattle,Washington,CenturyLink Field,NFL