name,sport_type
American Airlines Arena,NBA
American Airlines Center,NBA
Amway Center,NBA
Angel Stadium of Anaheim,MLB
Arrowhead Stadium,NFL
AT&T Center,NBA
AT&T Stadium,NFL
Bank of America Stadium,NFL
Bankers Life Fieldhouse,NBA
Barclays Center,NBA
Broncos Stadium at Mile High,NFL
Busch Stadium,MLB
Capital One Arena,NBA
CenturyLink Field,NFL
Chase Field,MLB
Chesapeake Energy Arena,NBA
Citi Field,MLB
Citizens Bank Park,MLB
Comerica Park,MLB
Coors Field,MLB
Dodger Stadium,MLB
FedExField,NFL
FedExForum,NBA
Fenway Park,MLB
FirstEnergy Stadium,NFL
Fiserv Forum,NBA
Ford Field,NFL
Gillette Stadium,NFL
Globe Life Park in Arlington,MLB
Golden 1 Center,NBA
Great American Ball Park,MLB
Guaranteed Rate Field,MLB
Hard Rock Stadium,NFL
Heinz Field,NFL
Kauffman Stadium,MLB
Lambeau Field,NFL
Levi's Stadium	,NFL
Lincoln Financial Field,NFL
Little Caesars Arena,NBA
Los Angeles Memorial Coliseum,NFL
Lucas Oil Stadium,NFL
M&T Bank Stadium,NFL
Madison Square Garden,NBA
Marlins Park,MLB
Mercedes-Benz Stadium	,NFL
Mercedes-Benz Superdome,NFL
MetLife Stadium,NFL
Miller Park,MLB
Minute Maid Park,MLB
Moda Center,NBA
Nationals Park,MLB
New Era Field,NFL
Nissan Stadium	,NFL
NRG Stadium,NFL
Oakland-Alameda County Coliseum,"NFL, MLB"
Oracle Arena,NBA
Oracle Park,MLB
Oriole Park at Camden Yards,MLB
Paul Brown Stadium,NFL
Pepsi Center,NBA
PETCO Park,MLB
PNC Park,MLB
Progressive Field,MLB
Quicken Loans Arena,NBA
Raymond James Stadium,NFL
Rogers Centre,MLB
Scotiabank Arena,NBA
Smoothie King Center,NBA
Soldier Field,NFL
Spectrum Center,NBA
Staples Center,NBA
State Farm Arena,NBA
State Farm Stadium,NFL
StubHub Center,NFL
SunTrust Park,MLB
T-Mobile Park,MLB
Talking Stick Resort Arena,NBA
Target Center,NBA
Target Field,MLB
TD Garden,NBA
TIAA Bank Field	,NFL
Toyota Center,NBA
Tropicana Field,MLB
U.S. Bank Stadium,NFL
United Center,NBA
Vivint Smart Home Arena,NBA
Wells Fargo Center,NBA
Wrigley Field,MLB
Yankee Stadium,MLB